credit_limit,default,current_outstanding_balance,avg_bill_amount,total_paid,payment_ratio,num_late_payments,avg_delay,max_delay,recent_delay,credit_utilization
20000.0,1,3913.0,1284.0,689.0,0.08942245295262817,2,-0.3333333333333333,2,2,0.19564021798910056
120000.0,1,2682.0,2846.1666666666665,5000.0,0.29277432954678534,2,0.5,2,-1,0.02234981375155207
90000.0,0,29239.0,16942.166666666668,11018.0,0.10838727448009916,0,0.0,0,0,0.3248741680647993
50000.0,0,46990.0,38555.666666666664,8388.0,0.03625910476149307,0,0.0,0,0,0.9397812043759125
50000.0,0,8617.0,18223.166666666668,59049.0,0.5400493872324859,0,-0.3333333333333333,0,-1,0.17233655326893463
50000.0,0,64400.0,39685.666666666664,7772.0,0.03263969090565483,0,0.0,0,0,1.2879742405151897
500000.0,0,367965.0,454099.1666666667,180759.0,0.0663434138492459,0,0.0,0,0,0.7359285281429437
100000.0,0,11876.0,2247.6666666666665,4791.0,0.3552309631496997,0,-0.5,0,0,0.11875881241187589
140000.0,0,11285.0,10868.666666666666,6761.0,0.10367564749359791,1,0.3333333333333333,2,0,0.08060656709594931
20000.0,0,0.0,4486.5,14129.0,0.524851411589896,0,-1.6666666666666667,-1,-2,0.0
200000.0,0,11073.0,5744.5,6472.0,0.18776836486016016,1,0.16666666666666666,2,0,0.05536472317638412
260000.0,0,12261.0,14728.166666666666,66308.0,0.75034513975331,1,-0.5,2,-1,0.04715751093265026
630000.0,0,12137.0,6834.5,23370.0,0.5698888021849395,0,-0.8333333333333334,0,-1,0.019265048785636847
70000.0,1,65802.0,56447.5,10700.0,0.031592684669575946,4,1.1666666666666667,2,1,0.9400151426408194
250000.0,0,70887.0,62265.166666666664,18000.0,0.048180903231332575,0,0.0,0,0,0.28354686581253674
50000.0,0,50614.0,32736.0,6200.0,0.03156549585830147,2,0.5,2,1,1.012259754804904
20000.0,1,15376.0,17693.5,6350.0,0.059814246152107155,4,1.3333333333333333,2,0,0.7687615619219039
320000.0,0,253286.0,161002.33333333334,361897.0,0.37462875835261356,0,-0.5,0,0,0.7915162765116359
360000.0,0,0.0,0.0,0.0,0.0,1,-1.5,1,1,0.0
180000.0,0,0.0,0.0,0.0,0.0,1,-1.5,1,1,0.0
130000.0,0,38358.0,20647.166666666668,42231.0,0.34089147912563367,0,-0.16666666666666666,0,0,0.29505926877485555
